"gender","age_group","education_level","race_ethnicity","religion_level","income_bracket","job_status","individual_first_vote","individual_final_vote","group_first_vote_guilty","group_first_vote_not_guilty","group_first_vote_undecided","group_final_vote_guilty","group_final_vote_not_guilty","group_final_vote_undecided"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","26-35","College graduate","White/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,6,5,0,12,0
"Male","36-45","College graduate","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",1,10,0,0,12,0
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Not Guilty",7,NA,NA,NA,12,NA
"Male","Over 65","Post-graduate work","Black/African American","Neither","Over $75,000","Student","Not Guilty","Not Guilty",0,12,0,0,12,0
"Female","36-45","Post-graduate work","White/Hispanic","Somewhat non-religious",NA,"Employed full time","Not Guilty","Not Guilty",2,6,4,1,11,NA
"Female","46-55","College graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Undecided","Guilty",NA,NA,NA,1,11,NA
"Male","46-55","College graduate","Black/African American","Very religious","Over $75,000","Student","Undecided","Not Guilty",2,6,4,1,11,NA
"Male","46-55","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",2,6,4,1,11,NA
"Male","26-35","College graduate","White/Hispanic","Very non-religious","$50,000 - $75,000","Unemployed, seeking employment","Undecided","Not Guilty",NA,NA,NA,1,11,NA
"Female","46-55",NA,"Black/African American","Religious","$30,000 - $39,999","Employed full time","Undecided",NA,2,2,8,1,11,NA
"Female","56-65","Post-graduate work","White/Hispanic","Religious","$30,000 - $39,999","Self-employed","Not Guilty","Not Guilty",2,6,4,1,11,NA
"Female","26-35","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Self-employed","Guilty","Not Guilty",2,4,6,1,11,NA
NA,"36-45","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",2,6,4,1,11,NA
"Female","18-25","College graduate","Black/African American","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",9,2,1,12,0,0
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,9,2,1,11,1,NA
"Female","46-55","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",9,NA,3,12,NA,NA
"Female","46-55","High school graduate","Black/African American","Very religious","$20,000 - $29,999","Employed full time",NA,"Guilty",9,1,2,11,0,1
"Female","46-55","Post-graduate work","Black/African American","Very religious","Over $75,000","Employed full time","Guilty","Guilty",10,1,1,12,NA,NA
"Female","26-35","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",10,NA,NA,12,NA,NA
NA,"56-65","High school graduate","Black/African American","Very religious","$10,000 - $19,999","Student","Guilty",NA,12,NA,NA,12,NA,NA
NA,"56-65","Some college","White/Hispanic","Religious",NA,"Student","Guilty",NA,0,2,1,0,NA,NA
"Female","36-45","College graduate","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",9,2,1,12,0,0
"Female","36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",9,2,1,12,0,0
"Female","26-35","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed part time","Guilty","Guilty",9,NA,3,12,0,0
"Male","36-45","Post-graduate work","White/Caucasian","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",9,1,2,12,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",3,4,5,0,12,0
"Female","26-35","Post-graduate work","White/Hispanic","Neither","$30,000 - $39,999","Self-employed",NA,"Not Guilty",3,5,4,NA,12,NA
"Male","26-35","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Undecided","Not Guilty",3,4,5,NA,12,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Unemployed, seeking employment","Guilty","Not Guilty",4,0,0,NA,12,NA
NA,"46-55","Post-graduate work","Black/African American","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","26-35","College graduate","White/Hispanic","Neither","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",3,7,2,NA,12,NA
"Female","46-55","Post-graduate work","Black/African American","Religious","$50,000 - $75,000","Employed full time","Undecided","Undecided",2,5,5,0,12,0
"Male","36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",2,9,1,0,12,0
"Male","56-65","College graduate","Black/African American","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",9,2,1,NA,12,NA
"Female","26-35","College graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",2,9,1,1,11,0
"Female","26-35","Some college","Black/African American","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",2,9,1,0,12,0
NA,"46-55","College graduate","Black/African American","Religious",NA,"Employed full time","Undecided",NA,NA,NA,12,NA,12,NA
"Male","26-35","Post-graduate work","White/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Undecided","Not Guilty",9,2,1,12,12,12
"Male","26-35","College graduate","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,9,1,NA,12,NA
"Female","36-45","High school graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time","Undecided",NA,3,7,2,NA,12,NA
"Female","36-45","Some college","Black/African American","Religious","$10,000 - $19,999","Employed full time","Undecided","Undecided",3,6,4,NA,12,NA
"Male","26-35","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",9,3,NA,1,11,NA
"Female","56-65","High school graduate","Black/African American","Religious","$50,000 - $75,000","Student","Not Guilty","Not Guilty",5,5,2,1,11,0
"Male","36-45","Some college","Black/African American","Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",4,3,5,12,0,0
NA,"26-35","College graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",6,3,3,NA,12,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Guilty","Not Guilty",9,NA,3,0,12,0
"Male","46-55","Post-graduate work","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",2,8,2,0,12,0
"Female","36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed part time","Undecided","Not Guilty",5,3,0,NA,12,NA
"Male","56-65","Some college","Black/African American","Religious","$30,000 - $39,999","Student","Guilty",NA,NA,NA,NA,6,5,1
"Female","26-35","Some college","Black/African American","Religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",4,4,4,0,12,0
"Female","26-35","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Not Guilty",6,6,NA,NA,12,NA
"Female","36-45","Some college","Black/African American","Religious","$10,000 - $19,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female",NA,NA,NA,"Religious","$30,000 - $39,999","Employed full time",NA,NA,NA,0,NA,NA,0,NA
"Female","26-35","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,2,2,12,0,0
"Female","26-35","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",8,2,2,12,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,2,2,12,NA,NA
"Female","26-35","Some college","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",8,2,2,12,NA,NA
"Male","56-65","High school graduate","Black/African American","Religious","$50,000 - $75,000","Student","Guilty","Guilty",8,NA,NA,12,NA,NA
NA,NA,"Less than high school",NA,"Religious",NA,"Employed part time","Guilty","Guilty",8,4,0,6,4,2
"Female","36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed part time","Guilty","Guilty",8,2,2,12,0,0
"Male","18-25","High school graduate","White/Hispanic","Very non-religious","$10,000 - $19,999","Employed full time","Undecided","Guilty",8,2,2,12,0,0
"Male","26-35","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",6,4,2,12,0,0
"Male","56-65","Post-graduate work","Black/African American","Religious","Over $75,000","Employed full time","Undecided",NA,8,2,2,12,0,0
"Female","26-35","Less than high school","Black/African American","Religious","$10,000 - $19,999","Employed full time","Not Guilty",NA,NA,0,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","36-45","High school graduate","Black/African American","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
NA,"26-35","Some college","Black/African American","Neither","$10,000 - $19,999","Student","Not Guilty","Not Guilty",1,11,NA,12,NA,NA
"Female","46-55","Some college","Black/African American","Religious","$30,000 - $39,999","Student","Not Guilty","Not Guilty",1,11,NA,0,12,NA
"Female","46-55","Post-graduate work","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
"Female","Over 65","High school graduate","Black/African American","Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,11,NA,1,11,NA
"Female","56-65","Some college","White/Hispanic","Religious","$10,000 - $19,999","Employed full time","Not Guilty",NA,NA,11,NA,NA,12,NA
"Male","36-45","Some college",NA,"Very religious","$10,000 - $19,999","Employed full time","Not Guilty","Not Guilty",NA,0,NA,NA,0,NA
"Female","26-35","High school graduate","Black/African American","Religious","$10,000 - $19,999","Employed part time","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
"Male","26-35","Post-graduate work","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty","Not Guilty",1,11,NA,0,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","18-25","College graduate",NA,NA,"$50,000 - $75,000","Employed full time",NA,"Guilty",9,NA,3,0,0,0
"Female","36-45","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",10,2,NA,12,0,NA
"Male","36-45","Post-graduate work","Black/African American","Religious","Over $75,000","Employed full time",NA,"Guilty",10,NA,NA,12,NA,NA
"Female","46-55","Some college","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Guilty",0,2,NA,12,NA,NA
"Female","18-25","College graduate","White/Caucasian","Somewhat non-religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",10,2,0,12,0,0
"Female","56-65","Some college","Black/African American","Religious","$40,000 - $49,999","Employed part time","Guilty","Not Guilty",0,0,0,12,0,NA
"Female","46-55","Post-graduate work","Black/African American","Very non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",2,6,4,0,12,0
"Female","46-55","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,12,0,0,12,0
"Female","46-55","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",1,7,4,NA,12,NA
"Female","36-45","Some college","Black/African American","Religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",1,7,4,NA,12,NA
"Female","26-35","High school graduate","Black/African American","Neither","$10,000 - $19,999","Employed full time","Not Guilty","Not Guilty",4,7,1,0,12,0
"Male","36-45","College graduate","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",2,7,4,NA,12,NA
"Female","26-35","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Undecided","Not Guilty",1,6,5,NA,12,NA
"Female","46-55","College graduate","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",1,7,4,0,12,NA
"Female","36-45","College graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",1,4,7,NA,12,NA
"Female","46-55","College graduate",NA,"Neither","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",1,6,4,NA,12,NA
"Female","26-35","Post-graduate work","White/Hispanic","Neither","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","36-45","College graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time","Not Guilty",NA,3,9,NA,3,9,NA
"Male","18-25","Less than high school","Black/African American","Religious","Under $10,000","Homemaker",NA,NA,NA,NA,NA,NA,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Not Guilty",NA,10,2,NA,3,9,NA
"Female","18-25","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Unemployed, and a student","Not Guilty","Not Guilty",8,4,0,3,7,0
"Male","56-65","College graduate","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",6,6,NA,9,3,NA
"Female","46-55","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",6,6,NA,3,9,NA
"Female","26-35","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Not Guilty",6,6,NA,3,9,NA
"Male","18-25","Post-graduate work",NA,"Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,3,9,0
"Female","56-65","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Guilty",NA,NA,NA,3,9,NA
"Female","46-55","High school graduate","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,0,0,0,0,0
"Male","56-65","High school graduate","Black/African American","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",6,6,NA,3,9,NA
"Female","Over 65","Some college","Black/African American","Religious","$30,000 - $39,999","Student","Undecided","Not Guilty",NA,12,NA,3,9,NA
"Female","36-45","College graduate","Black/African American","Neither","Over $75,000","Employed full time","Undecided","Not Guilty",5,5,2,6,6,NA
"Female","36-45","College graduate",NA,"Religious","$30,000 - $39,999","Employed full time",NA,"Guilty",2,5,5,4,6,NA
"Male","36-45","College graduate","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,6,5,1,6,6,NA
NA,"36-45",NA,NA,"Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",5,5,2,6,6,NA
"Male","56-65","High school graduate","Black/African American","Religious",NA,"Student","Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","Over 65","Post-graduate work",NA,"Very religious","$40,000 - $49,999","Student","Guilty",NA,NA,NA,NA,6,6,NA
"Male","26-35","Some college","Black/African American","Neither","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",5,5,7,NA,6,NA
"Female","26-35","Some college","Black/African American","Very religious","$30,000 - $39,999","Self-employed","Undecided","Not Guilty",5,5,2,6,6,0
"Female","46-55","Some college","Black/African American","Religious","$50,000 - $75,000","Self-employed","Not Guilty",NA,5,5,2,6,6,NA
"Female","46-55","Post-graduate work","Black/African American","Religious","$50,000 - $75,000","Self-employed","Not Guilty","Not Guilty",0,5,2,6,6,NA
"Female","56-65","College graduate","Black/African American","Religious","Over $75,000","Student","Guilty","Guilty",5,5,2,6,6,0
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",1,10,1,NA,12,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,9,3,NA,12,NA
"Female","Over 65","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Student","Undecided","Not Guilty",8,1,3,12,NA,NA
"Female","26-35","High school graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time","Not Guilty",NA,NA,1,NA,NA,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",1,10,1,NA,12,NA
"Female",NA,"Post-graduate work",NA,"Very religious",NA,NA,"Not Guilty","Undecided",3,12,0,0,12,0
"Female","36-45","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Female","46-55","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",9,NA,2,12,NA,NA
"Female","26-35","Some college","Black/African American","Somewhat non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,11,1,NA,12,NA
"Female","26-35","Some college","Black/African American","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
"Female","46-55","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Homemaker","Not Guilty","Not Guilty",1,10,1,NA,12,NA
"Male","46-55","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,1,10,NA,12,NA
"Female","46-55","Some college","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",3,9,NA,NA,12,NA
"Female","26-35","High school graduate","Black/African American","Religious",NA,"Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",3,9,NA,NA,12,NA
NA,"26-35","Some college","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,NA,NA,NA,NA,NA,NA
NA,"46-55","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Not Guilty",3,3,0,0,12,0
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Not Guilty",3,9,12,0,12,12
"Female","56-65","High school graduate","Black/African American","Very religious","$10,000 - $19,999","Employed full time","Not Guilty",NA,NA,12,NA,NA,12,NA
"Male","46-55","Post-graduate work","Black/African American","Neither","Over $75,000","Employed full time","Guilty","Not Guilty",6,4,2,0,12,NA
"Female","18-25","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",6,6,0,0,12,0
"Male","36-45","High school graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",3,7,2,NA,12,NA
NA,"26-35","College graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Not Guilty",NA,6,6,0,12,0,0
NA,"36-45","Some college","Black/African American","Religious","$20,000 - $29,999","Employed full time","Guilty","Not Guilty",NA,NA,NA,NA,NA,NA
"Male","36-45","High school graduate","Black/African American","Religious","Under $10,000","Employed part time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","36-45","Some college","Black/African American",NA,"$30,000 - $39,999","Student","Guilty",NA,9,4,NA,12,NA,NA
"Male","56-65","Post-graduate work","White/Hispanic","Very non-religious","$40,000 - $49,999","Self-employed","Not Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Male","36-45","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",3,NA,NA,NA,12,NA
"Female","56-65","Some college","Black/African American","Religious","$30,000 - $39,999","Student","Guilty","Undecided",0,0,0,12,NA,NA
"Female","36-45","Post-graduate work","White/Caucasian","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",8,2,2,12,0,0
NA,"56-65","College graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time",NA,"Guilty",8,2,2,12,NA,NA
"Female","18-25","Post-graduate work","Native American","Neither","Over $75,000","Employed full time","Undecided","Guilty",8,2,2,12,0,0
"Female","26-35","Post-graduate work","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,2,2,12,0,0
"Female","26-35","Post-graduate work","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,2,2,12,NA,NA
"Female","36-45","Some college","Black/African American","Religious","Over $75,000","Employed full time","Undecided","Undecided",8,2,2,11,0,1
"Male","18-25","Post-graduate work","White/Hispanic","Very religious","Under $10,000","Unemployed, and a student","Guilty","Guilty",8,2,2,12,0,0
"Male","56-65","Post-graduate work","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,2,2,12,0,0
"Female","26-35","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",8,2,0,12,0,0
"Female","46-55","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty","Guilty",8,2,2,12,NA,NA
"Female","26-35","Some college","White/Caucasian","Very non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",7,5,NA,NA,12,NA
"Female","Over 65","Post-graduate work","Black/African American","Neither",NA,"Student","Guilty","Guilty",NA,NA,NA,NA,NA,NA
"Female","36-45","Post-graduate work","Black/African American","Very religious","Over $75,000","Employed full time","Not Guilty","Guilty",7,5,NA,12,0,0
"Female","Over 65","College graduate","White/Hispanic","Neither","Over $75,000","Student","Not Guilty","Undecided",7,5,NA,NA,12,NA
"Male","26-35","Some college","Black/African American","Very religious","$20,000 - $29,999","Employed full time","Not Guilty",NA,7,4,1,NA,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","36-45","College graduate",NA,"Religious","$40,000 - $49,999","Employed full time","Not Guilty","Guilty",7,5,NA,12,NA,NA
NA,"56-65","High school graduate","Black/African American","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",7,5,NA,12,NA,NA
"Female","46-55","College graduate","Black/African American","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","46-55","College graduate","Black/African American","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",7,5,NA,12,0,NA
NA,NA,NA,NA,"Religious",NA,"Student","Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","18-25","College graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Guilty",6,6,NA,11,1,NA
"Male","18-25","Some college","Black/African American","Religious","$50,000 - $75,000","Student","Not Guilty","Guilty",6,6,NA,11,1,NA
"Male","18-25","College graduate",NA,"Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",6,6,NA,11,1,NA
"Female",NA,"Some college","Black/African American","Religious","$10,000 - $19,999","Student","Guilty","Guilty",6,6,NA,11,1,NA
"Female","56-65","Some college","Black/African American","Religious","$20,000 - $29,999","Student","Guilty","Guilty",6,6,NA,11,1,NA
"Female","46-55","College graduate","Black/African American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,6,NA,11,1,NA
"Female","56-65","High school graduate","Black/African American","Religious","$30,000 - $39,999","Student","Undecided","Undecided",6,6,NA,11,1,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",6,6,NA,11,1,NA
"Female","36-45","Post-graduate work","Black/African American","Very religious","Over $75,000","Employed full time","Not Guilty","Guilty",6,6,NA,11,1,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,NA,6,NA,NA,NA,NA
"Female","26-35","College graduate",NA,"Religious",NA,"Employed full time","Not Guilty","Not Guilty",6,6,NA,11,NA,NA
"Female","26-35","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",6,6,NA,11,1,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Undecided","Not Guilty",2,5,5,1,9,2
"Female","26-35","College graduate","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Not Guilty",2,5,5,0,12,0
NA,NA,NA,NA,NA,NA,NA,"Undecided","Not Guilty",4,5,2,NA,NA,NA
"Male","26-35","College graduate","Black/African American","Somewhat non-religious","Over $75,000","Self-employed","Not Guilty","Not Guilty",NA,NA,NA,12,NA,NA
"Male","26-35","College graduate",NA,"Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",1,8,3,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","Over 65","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Student","Not Guilty","Not Guilty",5,5,4,NA,12,NA
NA,NA,"College graduate","Native American","Religious",NA,"Employed full time","Not Guilty","Not Guilty",2,5,5,0,12,0
"Male","Over 65","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Student","Guilty","Not Guilty",3,5,4,0,12,0
"Female","18-25","College graduate","Native American","Somewhat non-religious","$50,000 - $75,000","Employed full time","Undecided",NA,NA,NA,0,0,12,0
"Male","36-45","College graduate","Black/African American","Very religious",NA,"Unemployed, seeking employment","Not Guilty","Guilty",9,4,NA,8,4,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",8,4,NA,12,NA,NA
"Female","46-55","College graduate","White/Hispanic","Very religious","Over $75,000","Self-employed","Guilty","Guilty",8,4,NA,12,0,NA
"Male","36-45","Post-graduate work","White/Hispanic","Very non-religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,4,NA,12,0,NA
NA,"56-65","College graduate",NA,"Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",12,0,0,12,0,0
"Female","18-25","Post-graduate work","White/Hispanic","Neither","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,4,NA,12,0,NA
"Female","26-35","Post-graduate work","White/Hispanic",NA,"$30,000 - $39,999","Self-employed","Not Guilty","Guilty",8,4,0,12,0,0
"Male","26-35","Post-graduate work","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,4,0,12,0,0
"Male","18-25","High school graduate","Black/African American","Religious","$10,000 - $19,999","Employed part time","Undecided","Guilty",8,4,NA,12,0,NA
"Female","18-25","High school graduate","Black/African American","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",8,4,NA,12,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,4,0,12,0,0
"Male","46-55","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,4,NA,12,0,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,4,0,11,1,0
NA,"26-35","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",10,2,NA,11,1,NA
"Male","26-35","Some college","Black/African American","Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",9,2,1,11,1,0
"Male","46-55","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",9,3,NA,11,1,NA
"Male","36-45","College graduate","Black/African American","Religious","$50,000 - $75,000","Unemployed, seeking employment","Guilty","Guilty",11,1,0,11,1,0
"Female","46-55","Some college","Black/African American","Very religious","$50,000 - $75,000","Employed full time","Guilty",NA,9,3,NA,11,1,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Undecided","Guilty",NA,2,NA,11,1,NA
"Female","Over 65","Post-graduate work","Black/African American","Very religious","$40,000 - $49,999","Student","Guilty","Guilty",11,NA,NA,11,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",8,1,3,11,1,0
"Female",NA,"High school graduate","Black/African American","Religious","$10,000 - $19,999","Homemaker","Guilty","Guilty",NA,NA,0,NA,NA,NA
NA,"Over 65","High school graduate","Black/African American","Religious","$10,000 - $19,999","Student","Guilty",NA,11,1,NA,NA,NA,NA
NA,"56-65","Post-graduate work","Black/African American","Religious","Under $10,000","Self-employed","Guilty",NA,0,NA,NA,0,NA,NA
